order_item_id,order_id,product_id,quantity,unit_price,discount,line_total
ITEM0000001,ORD000001,PROD00417,1,2667.0,15,2266.95
ITEM0000002,ORD000001,PROD00442,2,1919.0,0,3838.0
ITEM0000003,ORD000002,PROD00273,1,35972.0,0,35972.0
ITEM0000004,ORD000002,PROD00346,1,25086.0,0,25086.0
ITEM0000005,ORD000002,PROD00442,4,1919.0,0,7676.0
ITEM0000006,ORD000002,PROD00433,4,492.0,0,1968.0
ITEM0000007,ORD000003,PROD00116,1,9100.0,0,9100.0
ITEM0000008,ORD000003,PROD00321,4,28130.0,0,112520.0
ITEM0000009,ORD000003,PROD00154,4,28772.0,10,103579.2
ITEM0000010,ORD000003,PROD00183,3,19146.0,0,57438.0
ITEM0000011,ORD000003,PROD00284,3,22028.0,5,62779.8
ITEM0000012,ORD000004,PROD00362,2,69715.0,20,111544.0
ITEM0000013,ORD000004,PROD00029,3,11116.0,10,30013.2
ITEM0000014,ORD000004,PROD00295,4,72545.0,5,275671.0
ITEM0000015,ORD000004,PROD00318,4,87215.0,10,313974.0
ITEM0000016,ORD000004,PROD00135,3,39388.0,10,106347.6
ITEM0000017,ORD000005,PROD00082,4,42306.0,10,152301.6
ITEM0000018,ORD000005,PROD00083,2,9592.0,0,19184.0
ITEM0000019,ORD000005,PROD00038,3,86939.0,15,221694.45
ITEM0000020,ORD000005,PROD00029,3,11116.0,10,30013.2
ITEM0000021,ORD000005,PROD00126,2,8630.0,5,16397.0
ITEM0000022,ORD000006,PROD00294,4,53116.0,0,212464.0
ITEM0000023,ORD000006,PROD00100,1,79128.0,0,79128.0
ITEM0000024,ORD000007,PROD00007,2,6165.0,0,12330.0
ITEM0000025,ORD000007,PROD00408,3,5466.0,0,16398.0
ITEM0000026,ORD000007,PROD00059,3,8175.0,15,20846.25
ITEM0000027,ORD000008,PROD00314,1,35065.0,5,33311.75
ITEM0000028,ORD000008,PROD00363,1,13221.0,5,12559.95
ITEM0000029,ORD000008,PROD00395,4,1340.0,0,5360.0
ITEM0000030,ORD000008,PROD00207,3,62332.0,0,186996.0
ITEM0000031,ORD000008,PROD00172,1,17129.0,20,13703.2
ITEM0000032,ORD000009,PROD00358,4,29802.0,20,95366.4
ITEM0000033,ORD000010,PROD00081,4,16662.0,0,66648.0
ITEM0000034,ORD000010,PROD00379,1,43359.0,0,43359.0
ITEM0000035,ORD000010,PROD00141,1,9492.0,5,9017.4
ITEM0000036,ORD000010,PROD00228,2,89900.0,10,161820.0
ITEM0000037,ORD000011,PROD00062,2,52432.0,0,104864.0
ITEM0000038,ORD000011,PROD00178,1,68244.0,0,68244.0
ITEM0000039,ORD000012,PROD00153,3,43467.0,0,130401.0
ITEM0000040,ORD000013,PROD00384,3,80222.0,20,192532.8
ITEM0000041,ORD000013,PROD00126,2,8630.0,10,15534.0
ITEM0000042,ORD000013,PROD00099,1,4757.0,0,4757.0
ITEM0000043,ORD000013,PROD00292,3,64518.0,15,164520.9
ITEM0000044,ORD000013,PROD00305,2,79580.0,15,135286.0
ITEM0000045,ORD000014,PROD00321,3,28130.0,5,80170.5
ITEM0000046,ORD000014,PROD00398,4,4108.0,0,16432.0
ITEM0000047,ORD000014,PROD00248,1,39196.0,0,39196.0
ITEM0000048,ORD000014,PROD00215,2,54386.0,10,97894.8
ITEM0000049,ORD000014,PROD00423,1,2885.0,0,2885.0
ITEM0000050,ORD000015,PROD00072,3,25416.0,5,72435.6
ITEM0000051,ORD000016,PROD00352,4,13359.0,0,53436.0
ITEM0000052,ORD000016,PROD00184,1,23178.0,0,23178.0
ITEM0000053,ORD000016,PROD00024,3,72284.0,0,216852.0
ITEM0000054,ORD000016,PROD00016,4,57392.0,5,218089.6
ITEM0000055,ORD000016,PROD00331,1,42888.0,5,40743.6
ITEM0000056,ORD000017,PROD00256,1,61692.0,0,61692.0
ITEM0000057,ORD000017,PROD00316,1,72702.0,0,72702.0
ITEM0000058,ORD000017,PROD00224,1,77574.0,0,77574.0
ITEM0000059,ORD000017,PROD00124,1,34742.0,10,31267.8
ITEM0000060,ORD000018,PROD00308,2,25819.0,5,49056.1
ITEM0000061,ORD000019,PROD00062,1,52432.0,15,44567.2
ITEM0000062,ORD000019,PROD00412,2,5321.0,0,10642.0
ITEM0000063,ORD000019,PROD00439,2,2361.0,10,4249.8
ITEM0000064,ORD000019,PROD00207,2,62332.0,0,124664.0
ITEM0000065,ORD000020,PROD00044,3,44504.0,0,133512.0
ITEM0000066,ORD000020,PROD00221,2,47309.0,5,89887.1
ITEM0000067,ORD000020,PROD00164,4,47745.0,0,190980.0
ITEM0000068,ORD000020,PROD00025,2,51615.0,0,103230.0
ITEM0000069,ORD000021,PROD00227,2,70146.0,20,112233.6
ITEM0000070,ORD000021,PROD00125,3,60082.0,10,162221.4
ITEM0000071,ORD000022,PROD00218,1,25405.0,5,24134.75
ITEM0000072,ORD000022,PROD00264,3,8582.0,0,25746.0
ITEM0000073,ORD000022,PROD00397,4,4345.0,10,15642.0
ITEM0000074,ORD000023,PROD00293,1,48105.0,15,40889.25
ITEM0000075,ORD000023,PROD00366,4,64402.0,0,257608.0
ITEM0000076,ORD000024,PROD00104,2,6117.0,20,9787.2
ITEM0000077,ORD000024,PROD00440,4,1943.0,0,7772.0
ITEM0000078,ORD000024,PROD00055,3,78484.0,0,235452.0
ITEM0000079,ORD000024,PROD00244,3,62946.0,0,188838.0
ITEM0000080,ORD000024,PROD00015,2,2851.0,0,5702.0
ITEM0000081,ORD000025,PROD00064,3,71352.0,0,214056.0
ITEM0000082,ORD000025,PROD00422,1,6147.0,5,5839.65
ITEM0000083,ORD000025,PROD00330,2,16168.0,5,30719.2
ITEM0000084,ORD000025,PROD00305,4,79580.0,5,302404.0
ITEM0000085,ORD000026,PROD00383,4,79278.0,10,285400.8
ITEM0000086,ORD000026,PROD00096,1,61177.0,0,61177.0
ITEM0000087,ORD000026,PROD00024,1,72284.0,5,68669.8
ITEM0000088,ORD000027,PROD00008,2,14280.0,0,28560.0
ITEM0000089,ORD000028,PROD00176,3,46942.0,5,133784.7
ITEM0000090,ORD000028,PROD00175,1,81276.0,0,81276.0
ITEM0000091,ORD000028,PROD00011,3,75563.0,0,226689.0
ITEM0000092,ORD000029,PROD00059,2,8175.0,10,14715.0
ITEM0000093,ORD000029,PROD00440,4,1943.0,10,6994.8
ITEM0000094,ORD000029,PROD00282,4,20136.0,5,76516.8
ITEM0000095,ORD000029,PROD00388,4,2976.0,10,10713.6
ITEM0000096,ORD000030,PROD00119,2,34591.0,0,69182.0
ITEM0000097,ORD000030,PROD00104,3,6117.0,5,17433.45
ITEM0000098,ORD000030,PROD00198,4,33029.0,10,118904.4
ITEM0000099,ORD000030,PROD00213,3,38585.0,0,115755.0
ITEM0000100,ORD000031,PROD00001,1,85810.0,0,85810.0
ITEM0000101,ORD000031,PROD00326,3,62952.0,20,151084.8
ITEM0000102,ORD000032,PROD00352,1,13359.0,0,13359.0
ITEM0000103,ORD000032,PROD00096,2,61177.0,15,104000.9
ITEM0000104,ORD000032,PROD00127,2,3934.0,20,6294.4
ITEM0000105,ORD000032,PROD00303,2,18728.0,0,37456.0
ITEM0000106,ORD000033,PROD00307,1,19786.0,20,15828.8
