order_id,customer_id,order_date,payment_method,order_status,total_amount
ORD000001,CUST00008,2025-10-11,UPI,Delivered,6104.95
ORD000002,CUST00194,2025-09-20,Debit Card,Shipped,70702.0
ORD000003,CUST00773,2026-05-31,Credit Card,Delivered,345417.0
ORD000004,CUST00004,2024-11-11,Net Banking,Shipped,837549.8
ORD000005,CUST00072,2025-03-31,Credit Card,Delivered,439590.25
ORD000006,CUST00545,2025-03-18,UPI,Delivered,291592.0
ORD000007,CUST00024,2024-12-28,Credit Card,Delivered,49574.25
ORD000008,CUST00233,2025-10-18,Wallet,Delivered,251930.9
ORD000009,CUST00131,2025-02-04,Net Banking,Cancelled,95366.4
ORD000010,CUST00504,2025-12-11,Credit Card,Delivered,280844.4
ORD000011,CUST00805,2025-06-10,UPI,Delivered,173108.0
ORD000012,CUST00807,2025-11-07,UPI,Delivered,130401.0
ORD000013,CUST00825,2025-11-14,Credit Card,Delivered,512630.7
ORD000014,CUST00064,2024-07-15,Credit Card,Delivered,236578.3
ORD000015,CUST00941,2026-02-21,UPI,Delivered,72435.6
ORD000016,CUST00343,2025-06-18,UPI,Delivered,552299.2
ORD000017,CUST00806,2026-02-01,Net Banking,Shipped,243235.8
ORD000018,CUST00853,2025-02-24,Net Banking,Delivered,49056.1
ORD000019,CUST00689,2026-05-27,Cash on Delivery,Delivered,184123.0
ORD000020,CUST00612,2024-10-22,UPI,Delivered,517609.1
ORD000021,CUST00455,2025-09-30,Debit Card,Delivered,274455.0
ORD000022,CUST00867,2026-05-08,Credit Card,Delivered,65522.75
ORD000023,CUST00518,2025-10-23,UPI,Delivered,298497.25
ORD000024,CUST00656,2024-07-25,UPI,Shipped,447551.2
ORD000025,CUST00459,2025-06-18,Credit Card,Delivered,553018.85
ORD000026,CUST00082,2025-02-01,Debit Card,Delivered,415247.6
ORD000027,CUST00778,2025-11-07,Debit Card,Delivered,28560.0
ORD000028,CUST00621,2025-07-12,UPI,Delivered,441749.7
ORD000029,CUST00175,2024-10-26,UPI,Shipped,108940.2
ORD000030,CUST00866,2026-02-22,UPI,Processing,321274.85
ORD000031,CUST00962,2025-10-30,Debit Card,Delivered,236894.8
ORD000032,CUST00255,2025-05-24,Cash on Delivery,Delivered,161110.3
ORD000033,CUST00840,2025-06-01,Debit Card,Delivered,148455.5
ORD000034,CUST00233,2025-10-09,Credit Card,Delivered,359929.5
ORD000035,CUST00867,2025-03-01,Credit Card,Delivered,415287.3
ORD000036,CUST00792,2024-08-25,UPI,Delivered,12475.8
ORD000037,CUST00409,2026-02-21,Debit Card,Delivered,382506.6
ORD000038,CUST00148,2025-06-13,UPI,Delivered,401555.8
ORD000039,CUST00707,2025-09-26,Cash on Delivery,Delivered,355392.9
ORD000040,CUST00963,2025-10-31,Net Banking,Delivered,318961.7
ORD000041,CUST00148,2025-05-11,UPI,Delivered,370335.8
ORD000042,CUST00966,2025-07-19,Net Banking,Delivered,169842.0
ORD000043,CUST00886,2024-07-24,Debit Card,Shipped,569185.0
ORD000044,CUST00998,2025-09-17,Credit Card,Delivered,254733.5
ORD000045,CUST00634,2024-07-10,UPI,Delivered,463889.85
ORD000046,CUST00651,2025-09-10,UPI,Processing,529557.9
ORD000047,CUST00642,2026-03-07,Cash on Delivery,Returned,661763.7
ORD000048,CUST00077,2025-10-13,UPI,Delivered,984.0
ORD000049,CUST00688,2025-06-28,Cash on Delivery,Delivered,833444.5
ORD000050,CUST00216,2025-03-03,UPI,Delivered,292529.1
ORD000051,CUST00221,2025-12-22,Cash on Delivery,Delivered,82316.25
ORD000052,CUST00021,2025-12-17,Wallet,Delivered,284737.4
ORD000053,CUST00127,2025-07-29,Debit Card,Delivered,249866.6
ORD000054,CUST00174,2025-01-21,Wallet,Delivered,136494.0
ORD000055,CUST00744,2025-09-15,Wallet,Delivered,298253.9
ORD000056,CUST00528,2025-04-07,UPI,Shipped,182233.6
ORD000057,CUST00682,2025-12-22,UPI,Processing,228625.2
ORD000058,CUST00270,2025-10-30,UPI,Delivered,109499.85
ORD000059,CUST00024,2026-04-29,Cash on Delivery,Cancelled,404432.0
ORD000060,CUST00366,2025-09-24,UPI,Delivered,204278.8
ORD000061,CUST00910,2025-02-13,UPI,Delivered,16946.6
ORD000062,CUST00325,2025-05-19,UPI,Delivered,602539.65
ORD000063,CUST00945,2025-02-07,UPI,Delivered,504532.4
ORD000064,CUST00105,2024-09-04,Credit Card,Cancelled,357788.15
ORD000065,CUST00440,2025-08-07,Debit Card,Shipped,397380.4
ORD000066,CUST00274,2024-12-05,Credit Card,Delivered,377431.8
ORD000067,CUST00023,2026-03-23,Debit Card,Delivered,662323.2
ORD000068,CUST00177,2025-10-23,Debit Card,Delivered,169433.2
ORD000069,CUST00335,2026-03-22,UPI,Delivered,155166.0
ORD000070,CUST00705,2025-08-03,Wallet,Delivered,214525.5
ORD000071,CUST00877,2026-04-26,Debit Card,Delivered,579100.25
ORD000072,CUST00375,2025-02-27,UPI,Delivered,615854.3
ORD000073,CUST00481,2024-10-03,UPI,Delivered,199970.1
ORD000074,CUST00050,2025-05-23,UPI,Delivered,96653.2
ORD000075,CUST00518,2025-07-01,Credit Card,Delivered,543810.9
ORD000076,CUST00273,2025-01-12,Credit Card,Delivered,302107.0
ORD000077,CUST00287,2025-02-17,UPI,Delivered,348056.1
ORD000078,CUST00391,2026-04-20,Debit Card,Delivered,421538.3
