product_id,brand,category,product_name,price,stock
PROD00001,Apple,Electronics,iPhone 15 64GB Black,85810,77
PROD00002,Apple,Electronics,iPhone 15 64GB White,5278,160
PROD00003,Apple,Electronics,iPhone 15 64GB Blue,34098,134
PROD00004,Apple,Electronics,iPhone 15 64GB Red,20289,72
PROD00005,Apple,Electronics,iPhone 15 64GB Silver,73482,64
PROD00006,Apple,Electronics,iPhone 15 64GB Green,79397,236
PROD00007,Apple,Electronics,iPhone 15 128GB Black,6165,35
PROD00008,Apple,Electronics,iPhone 15 128GB White,14280,131
PROD00009,Apple,Electronics,iPhone 15 128GB Blue,32495,278
PROD00010,Apple,Electronics,iPhone 15 128GB Red,80907,33
PROD00011,Apple,Electronics,iPhone 15 128GB Silver,75563,121
PROD00012,Apple,Electronics,iPhone 15 128GB Green,87181,299
PROD00013,Apple,Electronics,iPhone 15 256GB Black,56987,132
PROD00014,Apple,Electronics,iPhone 15 256GB White,60878,162
PROD00015,Apple,Electronics,iPhone 15 256GB Blue,2851,101
PROD00016,Apple,Electronics,iPhone 15 256GB Red,57392,194
PROD00017,Apple,Electronics,iPhone 15 256GB Silver,38421,99
PROD00018,Apple,Electronics,iPhone 15 256GB Green,30221,192
PROD00019,Apple,Electronics,iPhone 15 512GB Black,15396,67
PROD00020,Apple,Electronics,iPhone 15 512GB White,51797,69
PROD00021,Apple,Electronics,iPhone 15 512GB Blue,49052,196
PROD00022,Apple,Electronics,iPhone 15 512GB Red,81131,155
PROD00023,Apple,Electronics,iPhone 15 512GB Silver,7695,255
PROD00024,Apple,Electronics,iPhone 15 512GB Green,72284,83
PROD00025,Apple,Electronics,iPhone 15 Plus 64GB Black,51615,60
PROD00026,Apple,Electronics,iPhone 15 Plus 64GB White,74357,170
PROD00027,Apple,Electronics,iPhone 15 Plus 64GB Blue,84397,205
PROD00028,Apple,Electronics,iPhone 15 Plus 64GB Red,77674,118
PROD00029,Apple,Electronics,iPhone 15 Plus 64GB Silver,11116,43
PROD00030,Apple,Electronics,iPhone 15 Plus 64GB Green,88673,136
PROD00031,Apple,Electronics,iPhone 15 Plus 128GB Black,39930,60
PROD00032,Apple,Electronics,iPhone 15 Plus 128GB White,32512,71
PROD00033,Apple,Electronics,iPhone 15 Plus 128GB Blue,51823,162
PROD00034,Apple,Electronics,iPhone 15 Plus 128GB Red,61429,206
PROD00035,Apple,Electronics,iPhone 15 Plus 128GB Silver,23319,209
PROD00036,Apple,Electronics,iPhone 15 Plus 128GB Green,48566,127
PROD00037,Apple,Electronics,iPhone 15 Plus 256GB Black,89841,156
PROD00038,Apple,Electronics,iPhone 15 Plus 256GB White,86939,56
PROD00039,Apple,Electronics,iPhone 15 Plus 256GB Blue,81840,107
PROD00040,Apple,Electronics,iPhone 15 Plus 256GB Red,72010,145
PROD00041,Apple,Electronics,iPhone 15 Plus 256GB Silver,23417,256
PROD00042,Apple,Electronics,iPhone 15 Plus 256GB Green,51735,158
PROD00043,Apple,Electronics,iPhone 15 Plus 512GB Black,85886,132
PROD00044,Apple,Electronics,iPhone 15 Plus 512GB White,44504,48
PROD00045,Apple,Electronics,iPhone 15 Plus 512GB Blue,32021,36
PROD00046,Apple,Electronics,iPhone 15 Plus 512GB Red,43347,225
PROD00047,Apple,Electronics,iPhone 15 Plus 512GB Silver,37093,53
PROD00048,Apple,Electronics,iPhone 15 Plus 512GB Green,29653,181
PROD00049,Apple,Electronics,Apple Watch Series 10 64GB Black,29869,275
PROD00050,Apple,Electronics,Apple Watch Series 10 64GB White,53856,254
PROD00051,Apple,Electronics,Apple Watch Series 10 64GB Blue,20726,155
