customer_id,revenue,cumulative_revenue
CUST00112,1138528.0,1138528.0
CUST00674,1122803.15,2261331.15
CUST00980,1088290.15,3349621.3
CUST00044,1059342.2,4408963.5
CUST00535,1056141.8,5465105.3
CUST00222,1019022.0,6484127.3
CUST00489,1014255.3,7498382.6
CUST00937,1003498.25,8501880.85
CUST00805,998905.4,9500786.25
CUST00117,991163.0,10491949.25
CUST00692,970393.5,11462342.75
CUST00418,963894.0,12426236.75
CUST00941,943199.3,13369436.05
CUST00720,939981.75,14309417.8
CUST00752,939705.3,15249123.1
CUST00275,938811.0,16187934.1
CUST00224,936564.75,17124498.85
CUST00642,935216.8,18059715.65
CUST00135,935135.0,18994850.65
CUST00222,932882.0,19927732.65
CUST00690,931057.4,20858790.05
CUST00476,927145.0,21785935.05
CUST00699,924118.6,22710053.65
CUST00261,919824.6,23629878.25
CUST00078,917226.6,24547104.85
CUST00274,916271.7,25463376.55
CUST00463,909384.45,26372761.0
CUST00921,904754.3,27277515.3
CUST00724,900699.8,28178215.1
CUST00598,893045.0,29071260.1
CUST00510,892522.6,29963782.7
CUST00256,892162.8,30855945.5
CUST00909,891721.6,31747667.1
CUST00732,888975.65,32636642.75
CUST00051,887444.0,33524086.75
CUST00487,887433.5,34411520.25
CUST00757,879424.4,35290944.65
CUST00481,876072.0,36167016.65
CUST00616,869292.35,37036309.0
CUST00896,866622.2,37902931.2
CUST00754,863827.8,38766759.0
CUST00791,862859.75,39629618.75
CUST00842,859993.45,40489612.2
CUST00211,858746.2,41348358.4
CUST00475,858674.0,42207032.4
CUST00065,857678.55,43064710.95
CUST00346,856336.2,43921047.15
CUST00837,856196.3,44777243.45
CUST00190,853681.6,45630925.05
CUST00018,853468.2,46484393.25
CUST00397,852411.2,47336804.45
CUST00890,852377.9,48189182.35
CUST00134,849757.0,49038939.35
CUST00694,847961.4,49886900.75
CUST00314,846458.6,50733359.35
CUST00254,841790.8,51575150.15
CUST00318,841525.6,52416675.75
CUST00587,839692.45,53256368.2
CUST00004,837549.8,54093918.0
CUST00200,835636.4,54929554.4
CUST00206,834536.8,55764091.2
CUST00688,833444.5,56597535.7
CUST00954,832714.45,57430250.15
CUST00974,832686.8,58262936.95
